cntnum,stmerch,cntdate,deptcode,deptname,subdeptcode,subdeptname,sku,sbc,ibc,bndname,prname,prmodel,soh,cntqnt,varianceqnt,extphycnt_retail,extphycnt_cost,extphy_retailvar,extphy_costvar,gmperc,skutype,rpname
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,291319,8806095132082,             ,SAMSUNG                       ,BOOK COVER KB SLIM GALAXY TAB S9 ULTRA SAMSUNG EF-DX910UBEGTH,EF-DX910UBEGTH,2,2,0,13980,9146,0,0,30,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,296006,8809894143662,             ,SAMSUNG                       ,S24 ULTRA CLEAR CASE SAMSUNG GP-FPS928SAATW TRANSPARENCY,GP-FPS928SAATW,2,2,0,980,642,0,0,29.9,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,301931,8806095765563,             ,SAMSUNG                       ,SAMSUNG S24FE STANDING GRIP CASE BLUE BLACK EF-GS721CNEGWW,EF-GS721CNEGWW,1,1,0,1290,844,0,0,29.99,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,274137,8806092644106,             ,SAMSUNG                       ,CASE CLEAR VIEW COVER S21 FE SAMSUNG DARKGRN EF-ZG990CBEGWW,?EF-ZG990CBEGWW,3,3,0,5070,3318,0,0,29.98,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,280948,8806094497663,             ,SAMSUNG                       ,ZFLIP4 SILICONE COVER W/STRAP SAMSUNG BLACK EF-GF721TBEGWW,?EF-GF721TBEGWW,1,1,0,1190,779,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,292244,8809902083751,             ,SAMSUNG                       ,POPTICLE CASE FOR Q5_KEITH HARRING BLACK SAMSUNG GP-FPF946SBEBW,?GP-FPF946SBEBW,5,5,0,5450,3565,0,0,30.01,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299455,2000002994558,             ,SAMSUNG                       ,$$ SAMSUNG FLIP6 SILICONE CASE WITH RING GRAY EF-PF741TJEGWW,EF-PF741TJEGWW,1,1,0,1190,311,0,0,72.04,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,275560,2000002755609,             ,SAMSUNG                       ,$$ CASE S22 SMARTCLEAR VIEW COVER SAMSUNG EF-ZS901CBEGWW BLACK ,?EF-ZS901CBEGWW,1,1,0,1690,442,0,0,72.02,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,288514,8806094919332,             ,SAMSUNG                       ,CASE SAMSUNG A34 5G SMART VIEW WALLET BLUEBERRY EF-ZA346CVEGWW,?EF-ZA346CVEGWW,2,2,0,1980,1296,0,0,29.96,Credit,STK2
00010F111124001,00010,20241111,03,DT Accessories,0325,Case And Film,299493,8800240236281,             ,SAMSUNG                       ,SAMSUNG STICKY MONSTERLABFRAGILEFLIPSUIT CARD GP-TOF741SBCOW,GP-TOF741SBCOW,3,3,0,1170,765,0,0,30.04,Credit,STK2
